Isim,KullaniciAdi,YorumSayisi,RetweetSayisi,BegeniSayisi,Tweet 
Antalya Hakkinda,@HakkindaAntalya,3,,27,"Cumhurbaşkanı Erdoğan'dan ""Gönlünüzden geçen asgari ücret nedir?"" sorusuna yanıt: Belli bir yere gelsin, cevap vereceğiz."
Finans Gündem,@finansgundemcom,,,,Erdoğan: Asgari ücrete sonra cevap vereceğiz #Erdoğan #asgariücret - https://finansgundem.com/haber/erdogan-asgari-ucrete-sonra-cevap-verecegiz/1538555…
borsagundem,@borsagundem,1,,2,Erdoğan'dan 'asgari ücret' cevabı: Sonra...  #Erdoğan #asgariücret - https://borsagundem.com/haber/erdogandan-asgari-ucret-cevabi-sonra/1538553…
T24,@t24comtr,36,14,12,"Erdoğan'dan ""Asgari ücret için gönlünüzden geçen rakam nedir?"" sorusuna yanıt
https://t24.com.tr/haber/erdogan-dan-asgari-ucret-aciklamasi,922354…"
Sınıf Tavrı,@sinif_tavri,,4,7,"TÜİK'e Kısa Cevabımızdır:

TÜİK'in her yıl belirlediği düzey asgari ücret önerisi için en üst düzey olmaktadır. 

Asgari ücreti sermaye değil, işçiler belirlesin!
#asgariuecret
#AsgariDeğilİnsancaYasam
@tuikbilgi"
Sınıf Tavrı,@sinif_tavri,1,3,8,"TÜİK'e Kısa Cevabımızdır:

TÜİK'in belirlediği ortalama fiyat artışı şaibeli ve inandırıcı değildir. 

#asgariuecret
#AsgariDeğilİnsancaYasam
@tuikbilgi"
Sınıf Tavrı,@sinif_tavri,1,4,5,"TÜİK'e Kısa Cevabımızdır:

Sağlıklı beslenemeyen ve insnai ihtiyaçlarını karşılayamayan asgari ücretliler, meslek hastalığı ve iş cinayetlerine kurban gitmektedir. +
#asgariuecret
#AsgariDeğilİnsancaYasam
@tuikbilgi"
Sınıf Tavrı,@sinif_tavri,1,4,5,"TÜİK'e Kısa Cevabımızdır:

TÜİK'in hesaplama yönteminde ifade ettiği aylık ortalama harcama giderleri işçilerin sağlıklı beslenme alışkanlıklarını içermemektedir. 

#asgariuecret
#AsgariDeğilİnsancaYasam
@tuikbilgi"
Sınıf Tavrı,@sinif_tavri,1,3,5,"TÜİK'e Kısa Cevabımızdır:

TÜİK'in asgari ücret hesabı işçilerin gerçeklerinden ve insanca yaşam ilkelerinden uzaktır. +

#asgariuecret
#AsgariDeğilİnsancaYasam
@tuikbilgi"
Cihad,@ZSokeli,,,,Ben bu millete 2700 tl asgari ücret fazla haketmiyorlar deyince de bana küfür ediyorlar haksız mıyım?
Eyüp Çelt,@CeltEyupp,,,,Aradaki vergi parasını devlet işçiye versin. Hem işçi kazansın hem işverene zulüm olmasın. İlla vergi kesecekse 100 TL gene kessin ama çok astronomik rakamlar var asgari ücret vergisinde.
Kaan Vural,@Kaanvurral,,,12,Asgari ücret gibiyim kimse benimle geçinemiyor ajhdsjgddjdggdaj
Cahit Karakaya,@zikrimce,,,,"Bekarlara,evlilere,evli ve çocuk sahibi olanlara şeklinde asgari ücret olmalı,veya buna benzer düzenleme olmalı."
Jurnaliçe,@cevriye_yavuz,,,4,"“Gönlünüzden geçen asgari ücret rakamı nedir?”  

Cumhurbaşkanlığı Hükümet Sistemi daha iyi özetlenemezdi..."
9 Eylül Gazetesi,@Gazete9Eylul,,,,"DİSK, asgari ücret taleplerini yeniden gündeme getirmek için Türkiye’nin dört bir yanından meydanlarda seslerini yükseltti."
Takvim,@takvim,1,,6,Başkan Erdoğan'dan flaş asgari ücret yanıtı!
Sakarya 360,@Sakarya360haber,,,1,"Yetkisi olmayıp fikri olan kurum:TÜİK
https://sakarya360.com/yetkisi-olmayip-fikri-olan-kurumtuik/…
#Tueik #asgariuecret"
Emek Partisi Antep,@emepantep,,1,9,"""insanca yaşanacak asgari ücret"" için #DİSK Gaziantep Bölge Temsilciliğinin düzenlediği basın açıklamasına katıldık.
#Antep #AsgariÜcret #Bütçe"
Gökhan Kadıoğlu,@Gkhn_3458,,,8,"Sondakika!
Başkan Erdoğan'dan asgari ücret açıklaması.

- Gönlünüzden geçen asgari ücret rakamı nedir? Sorusuna yanıt;

"" Belli bir yere gelsin, sonra cevap vereceğiz"" oldu..

Haydi hayırlısı...
#asgariücret"
Tayfun Hot,@tayfun_hot,,1,2,"Asgari ücreti belirleyen bakanın maaşı : 30 bin  TL,
Şükredin diyen imamın maaşı : 
7 bin  TL,  
Simit yiyin diyen milletvekilinin maaşı :  25 bin  TL, 
bunları alkışlayanların maaşı :  2.324 TL

Tweet bu kadar!

#AsgariÜcret2021 #Asgariücret"
Devrimci Sağlık İş,@DevrimciSaglik,,,6,İnsan onuruna yaraşır bir asgari ücret istiyoruz!
Mehmet,@Mehmet44070771,1,1,10,"Asgari ücret önerisi 2 bin 792 lira olan TÜİK: Artış oranını biz belirlemiyoruz

TÜİK tarafından yapılan açıklamada, yapılan hesaplamanın teknik bir işlem olduğu belirtilerek ""Hesaplama bir işçinin ihtiyaç duyacağı aylık harcama gereksinimini gösteriyor"" denildi"
Malumatfuruş,@malumatfurusorg,,,5,"TÜİK’in asgari ücret önerisi sanılan tutar bir işçinin ihtiyaç duyacağı aylık toplam harcama gereksinimi hesabını yansıtmaktadır. 

Sadece yaptığı bu hesaplama çalışmasının sonuçlarını Komisyona sunan TÜİK’in asgari ücret belirleme gibi bir görev ya da yükümlülüğü bulunmamaktadır"
Malumatfuruş,@malumatfurusorg,1,,7,"Asgari ücret belirleme çalışmaları kapsamında TÜİK, bir ücret önerisi sunmamaktadır. 

TÜİK, çerçevesi, içeriği ve metodolojisi Asgari Ücret Tespit Komisyonu tarafından belirlenmiş olan teknik bir hesaplama yapmaktadır."
Kaldıraç İzmir,@kaldiracizmir,,,,"Disk Ege Bölge temsilciliği İzmir İl Sgk Müdürlüğü önünde asgari ücret taleplerinin dile getirildiği basın açıklaması gerçekleştirdi. Kaldıraç okurları olarak bizler de basın açıklamasına destek verdik. 

İnsanca Yaşanabilir Ücret ve Güvenceli Çalışma İstiyoruz!"
Düzgün Haber,@duzgun_haber,,,1,"CHP'den Asgari Ücret İçin Kanun Teklifi
http://bit.ly/3mGIK13
@herkesicinCHP"
0kaNdP,@0kaNdP,,,,"Aman hanımefendi söylemeyin böyle şeyler, şuan birden fazla yerden aldıkları astronomik maaşlara rağmen bu kadar vegilendiriliyoruz (kibarca) birde asgari ücret alsalar düşünemiyorum..."
Hanif Human (18000 Alem),@History2021,17,30,231,"Baba vardiya yemeğinde çıkan portakalı çocuğuna götürdü asgari ücretle yaşamayan bilemez
Asgari ücret hiçbir gıdaya zam olmadan 6000 TL olmalı aksini iddia eden bizden değildir
#asgariücret"
Zaza Abi,@ZazaAbi1334,1,1,,Yanlış olan ne 2002 de asgari ücret 7 çeyrek altın alıyordu şuan 3 tane ancak alıyor bunun neresi yanlış merak ettim
işşiz adam derneği,@Pala35410814,,,,Asgari ücret?? Aihm?? Saraydaki yemek?? Sahte diploma?? 4-5maaş alan yöneticiler??
Hasan Şencan,@hasansencan2,,4,15,"Bugün meydanlarda emekçilerin haklı taleplerini dile getirdik. 

Sefalet ücreti değil,

Vergiden muaf,

İnsanca yaşanacak bir Asgari Ücret, 

Emekçilerinin sesine kulak vermelisiniz. Emekçi mutsuz olursa, herkes mutsuz olur."
Medyanın Elli Tonu,@Medyanin50Tonu,3,8,11,"Cumhurbaşkanı Erdoğan’dan asgari ücret açıklaması...
Gönlünüzden geçen rakam nedir? 
Belli bir yere gelsin ondan sonra cevap vereceğiz."
KAMUŞERON BELEDİYECİ ,@TURANSEVDASITR,,2,1,#Geçinemiyoruz #magduruz #khklı #Belediye işçileri 696 KHK ile kadro diye kandırıldı. Biz hâlâ kadrosuz #asgariücret li şirket işçisiyiz. @ZehraZumrutS #450binBelediyeciKadrosuz @RTErdogan @kilicdarogluk
sara,@sarafatmnur,,,4,#carsamba #ailemedokunma #AnestezininHakkıBesBin #GoenuelHikayesi #2020ninKaybedeni #yağmur #BirCiftSoezuemVar #recepbayraktar #MilletBıktı #kuruekmek #cıplak #CoronaOranaBuranaKorumHA #asgariuecret #BirCiftSoezuemVar @katreninzeyli bir el atınnn lütfennnnnnnnnnnn
Breaking News Turkey,@breakingturkish,,,,TÜİK: Asgari ücret ve asgari ücret artış oranı TÜİK tarafından belirlenmemekte ve önerilmemektedir -  devamı için
immanenttelos,@immanenttelos,,,,Asgari ücret Romanya’nın bile gerisine düştü. Bulgar Levası 5 TL oldu. Dolarla geçiş garantili yapılan yolları mı kemireceğiz?
Nalan gündüz,@NalanGndz,5,7,33,‘Asgari ücret 10 bin TL olsa yine yetmez ‘ diyerek erken seçim istemek nasıl bir çözümdür Engin amca
Van Haberim,@VanHaberim,,,,TÜİK’ten asgari ücret açıklaması
TÜRKİYEM,@Fetih03612793,,,3,"Son Dakika: Cumhurbaşkanı Erdoğan'dan ""Gönlünüzden geçen asgari ücret rakamı nedir?"" sorusuna yanıt: Belli bir yere gelsin, sonra cevap vereceğiz -"
İnönü Güncel,@inonuguncel,,1,22,"Cumhurbaşkanı Erdoğan'dan ""Gönlünüzden geçen asgari ücret rakamı nedir?"" sorusuna yanıt: Belli bir yere gelsin, sonra cevap vereceğiz."
Tarafısız Ulak,@tarafsizulak,,,,"#SonDakika 
Cumhurbaşkanı Erdoğan'dan ""Gönlünüzden geçen asgari ücret rakamı nedir?"" sorusuna yanıt: 

Belli bir yere gelsin, sonra cevap vereceğiz"
Yeni Akit Gazetesi,@yeniakit,,,,Cumhurbaşkanı Erdoğan’dan asgari ücret açıklaması https://yeniakit.com.tr/haber/cumhurbaskani-erdogandan-asgari-ucret-aciklamasi-1486342.html…
İlyas Gökmen,@lyasGkmen6,,,1,"#sınavagelmiyorum bu ülkede kadın yada erkek, asgari ücret li yada Milletvekili .., böyle bı ayrım yok (haklı yada haksız ) bu ayrım var ve bu ülkede hep haksız lar kazanıyor haklılar aç bir şekilde ölüyor"
CHP GRUBU,@GrubuChp,,,1,"Genel Başkanımız sayın @kilicdarogluk
https://youtu.be/sZuy4PkQbhY
Organ ticaretinden, uyuşturucudan para kazan, Türkiye’ye getir, sıfır vergi! Fabrikada alın teri dök, asgari ücret al, vergiye tabi... Şu kendini muhafazakar diye tanıtan partiye bak!"
Akşam Gazetesi,@Aksam,,1,7,"❝Ne asgari ücret ne de asgari ücret artış oranı TÜİK tarafından belirleniyor❞ 

TÜİK'ten ""asgari ücret"" açıklaması"
Kutluay,@ktlyzvy,,,1,"“Fuhuştan, organ ticaretinden, uyuşturucudan para kazan, Türkiye’ye getir, sıfır vergi! Fabrikada alın teri dök, asgari ücret al, vergiye tabi... Şu kendini muhafazakar diye tanıtan partiye bak!” Bunu söylüyor niye çarpıtıyorsunuz"
Haberurfa.com,@haberurfajansi,,,,"#Sondakika
Cumhurbaşkanı Erdoğan: ""(Asgari ücret görüşmeleri) Belli yere gelsin o zaman konuşalım"""
Cenk,@Cenk95bjk,,,,"Asgari ücret yeter diyen ya patrondur ya da vekili!
#EmeklilikteYașaTakılanlar
@MHP_Bilgi @herkesicinCHP @iyiparti"
İlhan,@lhan24083549,,,,@tuikbilgi verilen asgari ücret önerisini madem yeterli diyorsunuz kendinizde aynı maaşı alında yeterlimi görelim... Elinizi vicdanına koyup öneri vermek lazım tabi vicdan varsa.... 
Hüseyin,@DumanBey47,2,1,1,"Önerim var,asgari ücreri belirleyenler ,belirledikleri ücretle 1 ay geçirsinler ve öyle karara bağlansın
#asgariücret"
Haberler,@Haberler,,,1,"Son Dakika: Cumhurbaşkanı Erdoğan'dan ""Gönlünüzden geçen asgari ücret rakamı nedir?"" sorusuna yanıt: Belli bir yere gelsin, sonra cevap vereceğiz

Tamamı: http://hbrlr1.com/cltctdickckckc
#AsgariÜcret #Erdoğan"
A Haber,@Ahaber,1,,11,"#SONDAKİKA Başkan Recep Tayyip Erdoğan’dan asgari ücret açıklaması!
http://ahaber.im/17slvh_smt"
yaşamak..,@ka1938_,,,,18 % zam yapılmış..asgari ücret içinde aynı rakam olurmu acaba
Star Gazete ,@stargazete,,2,11,"#SONDAKİKA Cumhurbaşkanı Erdoğan'dan ""asgari ücret"" açıklaması: Belli bir yere gelsin ondan sonra cevap vereceğiz https://bit.ly/38su0hb"
PİRHA,@PirHaberAjansi,,1,2,"CHP, Ocak 2021’den itibaren geçerli olacak asgari ücretin net 3 bin 100 TL’ye çıkarılması, vergi yükünün sıfırlanması ve Asgari Ücret Komisyonu’nun yeniden yapılandırılması için kanun teklifi verdi

#AsgariÜcret @herkesicinCHP #maaş #işçi
https://pirha.net/chp-asgari-ucret-icin-27-maddelik-kanun-teklifi-verdi-246880.html/23/12/2020/…"
haciboncuk,@haciboncuk_,,,40,"Devletin işverene verdiği ödenek VS işverenin işçiye verdiği ücret
#asgariuecret"
isyankaradam,@isyankaradam7,,,,#asgariücret bencilliğinizden vazgeçip adaletli paylaşmayı islâmî hukukları uyguladığımızda adaletsizlik ortadan kalkacak. sadaka verecek insan bulamayacaksınız ama açgözlülükle bencillikle gavur sevicilikle olmaz bu iş
Mehmet S.İnanç,@msinan66,,,1,"Aman kimseye bırakma, asgari ücret 240 ero, işsizlik pandemiden önce minimum 30,satılmayan kurum fabrika kalmamış, millet çaresizlikten intihar ediyor,biz gidersek diye anlaşmalar Londra mahkemelerinden yapılıyor, eğitimi ne sen sor ne ben söyleyeyim, aynen devam"
CNN TÜRK #MaskeniTak ,@cnnturk,11,1,19,#SONDAKİKA Cumhurbaşkanı Erdoğan'dan 'asgari ücret' açıklaması https://buff.ly/2WHkYr6
zeynap,@zeynapmasuut,1,,,"İdarenin başarısızlığı nedeniyle Türk ekonomisi yıkılıyor! 
#carsamba #asgariücret vergi #UElkemizinGercekleri cem uzan"
Yaşar Özen,@OEYASAR,,,,"@kilicdarogluk Asgari ücret 3100 TL olsun derken hangi dünyaya göre hesap yaptınız? Bugün 3 kişilik Ailenin aylık sabit gideri: Elektrik 403 TL, Su: 110 TL, Doğal gaz: 450 TL. Ev İnterneti: 116 TL, Tel:52 TL , Ev Kirası: 1300 TL, Toplam 2.379TL, 3100 TL den geri kalan 721TL dir"
KAMUŞERON BELEDİYECİ ,@TURANSEVDASITR,,,,#Geçinemiyoruz #magduruz #khklı #Belediye işçileri 696 KHK ile kadro diye kandırıldı. Biz hâlâ kadrosuz #asgariücret li şirket işçisiyiz. @ZehraZumrutS #450binBelediyeciKadrosuz @RTErdogan @kilicdarogluk
Sınıf Tavrı,@sinif_tavri,1,6,12,"TÜİK'e Kısa Cevabımızdır:

TÜİK'in bugün açıkladığı basın duyurusu yanlış bilgiler üzerine kuruludur ve inandırıcı değildir. +

#asgariuecret
#AsgariDeğilİnsancaYasam
@tuikbilgi"
DİSK/Genel-İş İzmir7,@Genelisizm7,1,2,13,Asgari ücretin insanca yaşanabilecek bir ücret olması talebi ile il sgk önünde DİSK ve bağlı sendikalarla birlikte basın açıklaması gerçekleştirdi.
Ahmet Akın,@ahmetakin33,1,2,6,"Kılıçdaroğlu: ""Organ ticaretinden, uyuşturucudan para kazan, Türkiye’ye getir, sıfır vergi! Fabrikada alın teri dök, asgari ücret al, vergiye tabi... Şu kendini muhafazakar diye tanıtan partiye bak!"""
Tata Aslan,@TataAslan,,,,Bir gece sabaha kadar bunlara baktım asgari ücret 122 TL iken bir bilet 1 imiş ulan millet işe nasıl gidiyormuş 122 defa Akbil bassan maaş bitiyor :)
Sağlık Görevlileri,@GorevlileriK,,1,2,#asgariücret Ne Kadar Olmalı? Asgari Ücrette Asıl Sorun Ne?
Sinan KARAALİ,@sinankaraalii,,,8,"Suriyeli sığınmacılara 40milyar$, Irak'a 5milyar$, Somali'ye 5milyar$, Tunus'a5milyar$, 150ülkeye tıbbi yardım göndern devlet büyüklerimiz, 

üniversite kayıt kuyruğu gibi halkekmek kuyruklarında bekleyen vatandaşı için insan onuruna yaraşır bir #asgariücret belirlemek zorundadır"
alparslanaytemiz,@alparslanaytemi,,,,"Asgari ücret konusunda konuşan muhalefet siz belediyelerde dediğiniz rakamı verin ne engel var sahtekarlar

#Kubilay
#billenkazanıırgoogleplayde
#OnurcanÖzcanHırka
#carsamba
#FenerinMaçıVar"
KAMUŞERON BELEDİYECİ ,@TURANSEVDASITR,,5,9,#carsamba #Geçinemiyoruz #magduruz #khklı #Belediye işçileri 696 KHK ile kadro diye kandırıldı. Biz hâlâ kadrosuz #asgariücret li şirket işçisiyiz. @ZehraZumrutS #450binBelediyeciKadrosuz @RTErdogan @kilicdarogluk
isimsizgazete.com,@isimsizgzt,,,,"Türkiye İstatistik Kurumu Başkanlığı (TÜİK), ne asgari ücret ne de asgari ücret artış oranının TÜİK tarafından belirlenmediğini ve önerilmediğini bildirdi."
serkan yılmaz,@serkany59580493,,,1,Bu paraya yakın bir ücret asgari ücret biliyorsunuz demi ve o para ile insanlar evinin kirasını çocuklarını bakmak zorunda.
Korkusuz,@korkusuzgazete,,,3,TÜİK’ten asgari ücret açıklaması
aynen Büş,@nightsforyou,,,,Eskiden asgari ücret 650 liraydı aglicam
OsmanNuriKoçak,@NuriKocakk,2,,2,Asgari ücret toplantısımı
neslihan bnc,@nesilbnc,,,1,Bu ülke ne zaman yeraltı kaynaklarını işleyip kullanmaya başladı terörü içten ve dıştan tamamen  temizleyip sınırları güven altına aldı içimizdeki hain oluşumları bitirdi..o zaman asgari ücret 5000 tl de olur.hangi gelişmiş ülke bizim kadar dertle uğraşıyor..
h-aykırı,@karunhazineleri,,,,Aboooo nasıl merak ediyordum var ya bunlar nerde kalacaklar diye. Artık rahatlayabilir ve asgari ücret ne kadar olacak diye merak yönümü değiştirebilirim.
Eminsu,@zorundadegilim,,1,1,"Marifet asgari ücreti yükseltmek değil arkadaslar, marifet alım gücünü arttırmak, gelişmiş ülkelerin çoğunda asgari ücret birimi düşük olmasina rağmen refah düzeyi yüksektir. #asgariücret"
Barış BAŞAK,@borisbsk01,,,1,#asgariücret
Tata Aslan,@TataAslan,,,,Faikcim.bunlari derviş in yanında dosya taşırken de düşündün mü ? Ne yaptın o zaman yüzde kaç zam yapıyordun 122 TL asgari ücret 1 TL iett bileti 20 krs ekmekti ne yaptın o zaman hele bı anlat ayıp artik
Fatih Demir,@Fatihdmr1923,1,,2,asgari ücret belli olunca açıklanır bence :)
Benito Mussolini,@CihanFranco,1,,2,"2010'da Hacettepe'de 4yıllık lisans mezunu oldum.

2010 KYK 200₺-Asgari ücret 599=3 katı
2010da KYK 133$

2020 KYK 550₺-Asgari ücret 2.349₺=4,3 katı
2020 KYK 75$"
KurtuluşYoluAtatürk,@Laik_TC_1923,,,2,Verilen #Asgariücret mi açlık diyeti mi?!
ilker doğan,@ilkerdoan20,,,5,"Ortaçağda insanlar vebadan,açlıktan ölürken Kilise meleklerin cinsiyetini tartışıyordu.
Yıl 2020. 
Ülkede her gün 400-500 kişi Koronadan ölüyor.Açlıktan işsizlikten intihar ediyorken,CB Başdanışmanı Fahrettin Altun ile ülke Türkçe ezanı tartışıyor. 
#asgariücret"
Büşra Elmas,@BraElma02152615,,,4,Asgari ücret gibiyim kimse benle geçinemiyor...
damla salih,@damlasaliih,,,1,"Erdoğan, #Türkiye'nin ekonomik başarısızlığının ve borç tuzağına düşmesinin nedenidir
ve hepimiz biliyoruz...

#ÜlkemizinGerçekleri
#asgariücret"
Mutlak Bilgi,@MutlakBilgi,,,1,"CHP, “Asgari Ücret Kanun Teklifi”ni TBMM Başkanlığı’na sundu"
mustafa karaman,@ihvatunn,,,1,en az asgari ücret 3 bin tl nin altında olmaması lazım yoksa bu işçi milleti bu gıdım gıdım verdiğiniz zamların hesabını sizlerden secimde mutlaka sorar işçi sizden sadaka istemiyor memura veriliyorsa işçi sınıfınada verilmesi lazım ALLAH tan korkun birazcık vicdanınız olsun
PolitikYol,@politikyol,,3,6,CHP’den asgari ücret için 27 maddelik teklif: 3 bin 100 TL olsun
Mutlak Bilgi,@MutlakBilgi,,,1,"CHP, “Asgari Ücret Kanun Teklifi”ni TBMM Başkanlığı’na sundu"
mustafa karaman,@ihvatunn,,,1,en az asgari ücret 3 bin tl nin altında olmaması lazım yoksa bu işçi milleti bu gıdım gıdım verdiğiniz zamların hesabını sizlerden secimde mutlaka sorar işçi sizden sadaka istemiyor memura veriliyorsa işçi sınıfınada verilmesi lazım ALLAH tan korkun birazcık vicdanınız olsun
PolitikYol,@politikyol,,3,6,CHP’den asgari ücret için 27 maddelik teklif: 3 bin 100 TL olsun
𝓓𝓮𝓷𝓲𝔃,@dnzknl,,,,"Doğalgazdan sonra şimdi de Bilecik’te altın rezervi bulunmuş. Şu asgari ücret net hesaplanana kadar bir kaç rezerv daha mı bulsak.. 
#carsamba"
Melek Ünlü ,@unlumelekk,1,,1,"Bu yıl bunun (büyük şehir tazminatı) altından kalkamazlar ablası. Bu yılı atlatalım, inşallah bu pandemi bitince hep birlikte asgari ücret için yüklenelim. Ama bu yıl hepimize sirayet eder ve topluca batarız."
ForceThingNews,@forcething,,,,"TÜİK'ten asgari ücret açıklaması

https://forcething.com/tuik-ten-asgari-ucret-aciklamasi/15808/…"
SeS ,@serdar_saricam,,1,1,#asgariücret #carsamba
Hayat Çok Kısa,@cengiz312han,,,,Eyyyy TÜİK  2792  lira mı ?  Allah belanızı versin  TÜİK  ve #AsgariÜcret  TESPİT KOMİSYONUNA  ÇOOK  SELAMLAR  aldığınız maaşlar  #haramolsun #zehirzıkkımolsun  bir #kuruekmek e muhtaç olursunuz inşallah
Özgür düşünce ,@Hedeflerim0,,,,#asgariuecret  Ten daha çok yükselmiş 
İdris,@KEVERZ0,,,1,#asgariücret net rakam 2324*1.18= 2748 olacak
Hayat Çok Kısa,@cengiz312han,,,,Eyyyy TÜİK  2792  lira mı ?  Allah belanızı versin  TÜİK  ve #AsgariÜcret  TESPİT KOMİSYONUNA  ÇOOK  SELAMLAR  aldığınız maaşlar  #haramolsun #zehirzıkkımolsun  bir #kuruekmek e muhtaç olursunuz inşallah
Hayat Çok Kısa,@cengiz312han,,,1,Eyyyy TÜİK  2792  lira mı ?  Allah belanızı versin  TÜİK  ve #AsgariÜcret  TESPİT KOMİSYONUNA  ÇOOK  SELAMLAR  aldığınız maaşlar  #haramolsun #zehirzıkkımolsun  bir #kuruekmek e muhtaç olursunuz inşallah
Abdülgani Avcı,@abdulgani_avc,,,1,Bu hükümet onmilyon aşgari ücretle çalışanına  üçbin nin üzerinde net aylık ücret ödeyemiyorsa . Sosyal devlet anlayışından bahsetmesin.
Hayat Çok Kısa,@cengiz312han,,,,Eyyyy TÜİK  2792  lira mı ?  Allah belanızı versin  TÜİK  ve #AsgariÜcret  TESPİT KOMİSYONUNA  ÇOOK  SELAMLAR  aldığınız maaşlar  #haramolsun #zehirzıkkımolsun  bir #kuruekmek e muhtaç olursunuz inşallah
osman,@osman39602519,,,2,"Hanımefendi:

Orta sınıf bir araba için 140 adet kemiksiz Asgari ücret ödemek gerekiyor.

Elin almanıysa sadece 10 adet.

 Siz ne anlatıyorsunuz ?

Sonra Almanya bizi kıskanıyor.
pehh  

Yaşam standartlarımızı mahvettiniz.

Darısı sizin de başınıza inşallah."
Hayat Çok Kısa,@cengiz312han,,,,Eyyyy TÜİK  2792  lira mı ?  Allah belanızı versin  TÜİK  ve #AsgariÜcret  TESPİT KOMİSYONUNA  ÇOOK  SELAMLAR  aldığınız maaşlar  #haramolsun #zehirzıkkımolsun  bir #kuruekmek e muhtaç olursunuz inşallah
Netyorum,@netyorumnet,,,,TÜİK’ten asgari ücret açıklaması: Artış oranını biz belirlemiyoruz
Hayat Çok Kısa,@cengiz312han,,,,Eyyyy TÜİK  2792  lira mı ?  Allah belanızı versin  TÜİK  ve #AsgariÜcret  TESPİT KOMİSYONUNA  ÇOOK  SELAMLAR  aldığınız maaşlar  #haramolsun #zehirzıkkımolsun  bir #kuruekmek e muhtaç olursunuz inşallah
Elçin”kemalistbirkadın”,@elcn_1881,,,2,"Dünyada 150'den fazla ülkeye Yardım gönderirken,

Suriyeliler için 
45 milyar doları
harcarken ,

İhalelerde elini korkak alıştırmayıp milyarlarca dolar öderken 
Ekonomi uçuyor,

Kendi vatandaşına gelince,
Cepte AKREP var .

#ÜlkemizinGerçekleri
#Asgariücret
#Günaydın
#Çarşamba"
Hayat Çok Kısa,@cengiz312han,,,,Eyyyy TÜİK  2792  lira mı ?  Allah belanızı versin  TÜİK  ve #AsgariÜcret  TESPİT KOMİSYONUNA  ÇOOK  SELAMLAR  aldığınız maaşlar  #haramolsun #zehirzıkkımolsun  bir #kuruekmek e muhtaç olursunuz inşallah
Eren,@erenerbss,,1,5,"#asgariuecret 2792₺ nedir ya?
Dalga mı geçiyorsunuz!!!"
Fatma,@fatmarsslan,,,2,Asgari ücret TÜİK tarafından 2792 tl olarak  önerildi. Sadece 1 ay bu parayla geçinmenizi görmek isterdim ya da geçinememenizi.
Resul Bükçü,@BukcuResul,,,,"Emekli aç, emeklinin parasıyla  zevk sefa yapıyor. Müslümanlıkla bu hiç bağdaşmıyor. Gene bu sene cüzi uyduruk bir zam verir emekliye. Medya ve siyasilerde, aç olan emekliden ziyade asgari ücretli ile esnafı işliyor. Asgari ücret  emekli maaşlarıni ikiye katlayacak."
Hülya @SEVDAM ATAMMM,@1926_832,,,,#AsgariÜcret #KılıçtaroğluNeSöyledi
Hülya @SEVDAM ATAMMM,@1926_832,,,,#AsgariÜcret #KılıçtaroğluNeSöyledi
Öğretmenin Sesi,@birazegitim,1,,126,"Ağzınızdan bir kez olsun asgari ücret, öğretmen atamaları, hakkını alamayan işçiler, açlıktan intihar eden insanlar, halkın dertleri çıksın bee. Asıl sizde az biraz ar namus varsa diyeceğimde onun yanından bile geçmemişsiniz."
On4 Haber,@on4haber,,,1,TÜİK'ten asgari ücret açıklaması: Artış oranını biz belirlemiyoruz
Hayat Çok Kısa,@cengiz312han,,,,Eyyyy TÜİK  2792  lira mı ?  Allah belanızı versin  TÜİK  ve #AsgariÜcret  TESPİT KOMİSYONUNA  ÇOOK  SELAMLAR  aldığınız maaşlar  #haramolsun #zehirzıkkımolsun  bir #kuruekmek e muhtaç olursunuz inşallah
T4Haber,@haber_t4,,,,TÜİK asgari ücret önerisini açıkladı
serin mahmut ,@MahmutSerin,,,2,"#Erdoğan ve #Türkiye ekonomiyi korumak için çok küçük bir miktar sağlayamadılar...

diğer devletlere para verirsiniz yaa
nerede bu paralar acaba!!!

Kılıçdaroğlu
#ÜlkemizinGerçekleri #asgariücret"
KARTAL’ım,@ARIN_KARTAL,,,1,Bende bunu anlatmaya çalışıyorum etrafımda herkese kaç para asgari ücret 2500 TL devlet olarak halkın bu paraya geçinecek ortam sağlanması yeterli bugün 5000 TL yapsa ücreti yarın bütün temel ürünlere ücrete yaptığı zamandan daha fazlası geliyor
Hayat Çok Kısa,@cengiz312han,,,,Eyyyy TÜİK  2792  lira mı ?  Allah belanızı versin  TÜİK  ve #AsgariÜcret  TESPİT KOMİSYONUNA  ÇOOK  SELAMLAR  aldığınız maaşlar  #haramolsun #zehirzıkkımolsun  bir #kuruekmek e muhtaç olursunuz inşallah
isyankaradam,@isyankaradam7,,1,2,#asgariücret zammı tamamen kandırmacadır.herkes birbirini kandırıyor.işveren işçinin maaşına zam yapıyor bunu parasını çıkarmak için ürettiği ürüne zam uyguluyor.Sanki yaşam standartı yükselmiş gibi reklam yapılıyor.1 agsari ücretle 1 aile geçinmye çalışyor
MEMEDυ Y A N I L D I L A R #11,@uyumazmemed,,,,#asgariücret denince aklıma gelen tek tiwit
Hayat Çok Kısa,@cengiz312han,,,1,Eyyyy TÜİK  2792  lira mı ?  Allah belanızı versin  TÜİK  ve #AsgariÜcret  TESPİT KOMİSYONUNA  ÇOOK  SELAMLAR  aldığınız maaşlar  #haramolsun #zehirzıkkımolsun  bir #kuruekmek e muhtaç olursunuz inşallah
